dz_label,overall_rank,income_deprivation_rank,employment_deprivation_rank,health_deprivation_rank,education_deprivation_rank,access_deprivation_rank,housing_deprivation_rank,crime_deprivation_rank
Data Zone S01000213,1583,2268,1350,2154,1149,5880,1179,133
Data Zone S01000214,3576,3951,3236,3396,2232,3267,4439,3783
Data Zone S01000215,4493,5061,5634,3498,5415,625,5507,2100
Data Zone S01000216,5147,5433,5035,4009,2911,5864,3252,3279
Data Zone S01000217,674,1481,689,331,333,5277,1176,360
Data Zone S01000218,2802,3425,2024,2926,2222,4797,4089,1645
Data Zone S01000219,845,1248,1491,222,346,4890,1133,1372
Data Zone S01000220,5477,5954,6393,4190,2506,4159,3087,4361
Data Zone S01000221,1671,1642,2125,666,2002,5412,1475,1411
Data Zone S01000222,3604,3487,3762,3243,2556,5900,1651,1444
Data Zone S01000223,4871,5286,4356,3301,4341,4892,2085,2610
Data Zone S01000224,3373,3312,3286,3077,2349,5137,3086,2233
Data Zone S01000225,4815,4433,4015,4999,3949,4960,3622,2913
Data Zone S01000226,6088,6317,5667,4840,5268,4030,5260,3827
Data Zone S01000227,6175,5972,6417,5453,4717,3075,6373,5144
Data Zone S01000228,3923,4346,5161,4254,1603,6063,2293,319
Data Zone S01000229,2558,2727,2778,2097,1768,4976,3354,1145
Data Zone S01000230,4032,4561,4737,3579,2889,2321,1714,1466
Data Zone S01000231,6392,6259,5956,5991,5038,5175,5380,4774
Data Zone S01000232,2977,2848,3225,3062,2230,4430,1373,1405
Data Zone S01000233,3405,3012,4009,2211,2453,4580,2019,4790
Data Zone S01000234,6133,6122,5929,5824,4462,4880,4606,2886
Data Zone S01000235,6297,5996,5812,5876,5170,5473,5116,3854
Data Zone S01000236,5306,5292,4292,4971,4114,4842,5344,3966
Data Zone S01000237,5672,6139,5598,4361,4038,3240,5788,4485
Data Zone S01000238,6458,6303,6456,6004,4658,5674,4384,5817
Data Zone S01000239,6026,6174,5816,4685,5281,3930,5509,3268
Data Zone S01000240,5448,5296,5180,4563,3886,6321,3670,2570
